../zymo/data/2018-03-09/1 ../zymo/data/2018-03-09/2 ../zymo/data/2018-03-09/3 ../zymo/data/2018-03-09/4 ../zymo/data/2022-02-18/Bpoop ../zymo/data/2022-02-18/Beauty ../zymo/data/2022-04-19/bvomit ../zymo/data/2022-07-11/bgood ../zymo/data/2022-08-19/brown ../zymo/data/2022-10-07/soil829 ../zymo/data/2023-10-25/Annie.2.US01120093 ../zymo/data/2023-10-25/Daisy.1..US01119673 ../zymo/data/2023-10-25/Happy.3.US01120297 ../zymo/data/2023-10-25/Rocky.4..US01120255 key_0 key_1 key_2 key_3 key_4 key_5 key_6
0 0 0 0 0 64 47 0 0 0 0 0 11 0 k__Bacteria p__Actinobacteria c__Actinobacteria o__Corynebacteriales f__Corynebacteriaceae g__Corynebacterium s__freiburgense_1
0 0 0 0 0 0 0 0 0 0 0 0 11 0 k__Bacteria p__Actinobacteria c__Actinobacteria o__Actinomycetales f__Actinomycetaceae g__Actinomyces s__cf.-urogenitalis
0 0 0 0 0 0 0 0 0 0 0 11 0 0 k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Peptostreptococcaceae g__Intestinibacter-Peptoclostridium s__sp34281-sp34340
0 0 0 0 0 0 0 0 0 0 0 0 11 0 k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Ruminococcaceae g__NA s__sp34777
0 0 0 0 0 0 0 0 0 0 0 0 11 0 k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Ruminococcaceae g__NA s__sp35829_1
0 0 0 0 0 0 0 0 0 0 0 0 0 11 k__Bacteria p__Actinobacteria c__Actinobacteria o__Actinomycetales f__Actinomycetaceae g__Actinomyces s__sp4762_1
0 0 0 0 0 40 0 0 0 0 0 0 0 11 k__Bacteria p__Firmicutes c__Bacilli o__Lactobacillales f__Aerococcaceae g__NA s__sp28129_1
0 0 0 0 0 0 0 0 0 0 11 0 0 0 k__Bacteria p__Proteobacteria c__Gammaproteobacteria o__Enterobacteriales f__Enterobacteriaceae g__Hafnia s__alvei
0 0 0 0 0 0 0 0 0 0 0 0 11 0 None p__mjm_pad_0 c__mjm_pad_1 o__mjm_pad_2 f__mjm_pad_3 g__mjm_pad_4 s__mjm_pad_5
0 0 0 0 0 67 46 0 0 0 0 0 11 0 k__Bacteria p__Actinobacteria c__Actinobacteria o__Actinomycetales f__Actinomycetaceae g__Actinomyces s__oris
0 0 0 0 0 160 73 0 0 0 0 0 11 0 k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Family_XI g__NA s__sp31397
0 0 0 0 0 0 0 0 0 0 0 0 11 0 k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Family_XIII g__NA s__sp31624_1
0 0 0 0 0 0 0 0 0 0 0 12 0 0 k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Lachnospiraceae g__NA s__sp33635
0 0 0 0 0 0 0 0 0 0 0 12 0 0 k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Clostridiaceae g__Clostridium s__hiranonis_1
0 0 0 0 0 0 0 0 0 0 0 0 12 0 k__Bacteria p__Actinobacteria c__Actinobacteria o__Micrococcales f__Micrococcaceae g__Rothia s__nasimurium
0 0 0 0 0 0 0 0 0 0 0 0 12 0 k__Bacteria p__Actinobacteria c__Actinobacteria o__Propionibacteriales f__Propionibacteriaceae g__Tessaracoccus s__oleiagri
0 0 0 0 0 0 0 0 0 0 0 12 0 0 k__Bacteria p__Fusobacteria c__Fusobacteriia o__Fusobacteriales f__NA g__NA s__sp37488
0 0 0 0 0 0 0 0 0 0 12 0 0 0 k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Ruminococcaceae g__NA s__sp34794_1
0 0 0 0 0 0 0 0 0 0 0 0 0 12 k__Bacteria p__Actinobacteria c__Actinobacteria o__Corynebacteriales f__Corynebacteriaceae g__Corynebacterium s__amycolatum
0 0 0 0 0 0 0 0 0 0 0 0 12 0 None p__mjm_pad_6 c__mjm_pad_7 o__mjm_pad_8 f__mjm_pad_9 g__mjm_pad_10 s__mjm_pad_11
0 0 0 0 0 0 0 0 0 0 0 12 0 0 k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Clostridiaceae g__Clostridium s__baratii-perfringens
0 0 0 0 0 0 0 0 0 0 0 0 12 0 k__Bacteria p__Firmicutes c__Clostridia o__Clostridiales f__Peptostreptococcaceae g__Terrisporobacter s__sp34393
